,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar,Z3-4.4.1,Z3-4.3.2,CVC3,CVC4,Yices,veriT,Alt-Ergo-1.01,Alt-Ergo-0.95.2,Predicted Alt-Ergo-0.95.2,Predicted Alt-Ergo-1.01,Predicted CVC3,Predicted CVC4,Predicted Yices,Predicted Z3-4.3.2,Predicted Z3-4.4.1,Predicted veriT,key,rf,rf time,rf result,best,best time,best result,worst,worst time,worst result,dt,dt time,dt result,rand time
algo64:Algo64:WP_parameter qs,Valid,0.1417702986,Valid,0.144168389909,Valid,0.155903339425,Valid,0.199770886,Timeout,10.1305134988,Valid,0.1495368046,Valid,0.17330425934,7.0,0.0,2.344828,0.0,14.0,29.0,0.0,0.0,0.0,algo64.mlw,0.0,2.0,17.0,WP_parameter qs,1.0,0.0,2.0,13.0,3.0,37.0,30.0,1.0,2.0,0.0,0.0,69.0,Algo64,0.0,24.0,Valid,0.1196706252,0.0,0.0,0.17330425934,0.1495368046,0.155903339425,0.199770886,14.2347217658,0.1196706252,0.144168389909,0.1417702986,4.26685939935,3.43642548724,3.38178364817,6.73819915356,5.43466965013,2.83260687622,2.70743703092,4.55185777932,algo64:Algo64:WP_parameter qs,Zz3Aavy4,0.17330425934,Valid,vaAz3Z4y,0.1196706252,Valid,y4Z3zAav,10.3302843848,Valid,vzZ3Aa4y,0.1196706252,Valid,1.42118913065
algo64:Algo64:WP_parameter quicksort,Timeout,11.10764641,Valid,1.24336445806,Unknown,3.37014803291,Timeout,10.2428171616,Timeout,10.1320052184,Timeout,10.1500691392,Timeout,10.1493484674,34.0,0.0,2.306306,0.0,24.0,111.0,0.0,0.0,0.0,algo64.mlw,0.0,7.0,66.0,WP_parameter quicksort,1.0,0.0,7.0,24.0,4.0,138.0,112.0,1.0,7.0,0.0,0.0,257.0,Algo64,0.0,114.0,Timeout,10.1065849062,0.0,0.0,14.2481323096,14.2486456736,13.3701480329,14.3148630244,14.2357834258,14.2177022921,1.24336445806,14.9458960511,7.88000225134,6.7929752646,8.16490970922,9.15878456321,9.02266845236,8.17730474566,8.21970739423,10.6557307963,algo64:Algo64:WP_parameter quicksort,Aa3zZy4v,1.24336445806,Valid,A3vyZz4a,1.24336445806,Valid,a4zZyv3A,66.5019837938,Valid,yzZA4a3v,31.6747872831,Valid,33.8726741259
assigning_meanings_to_programs:Division:WP_parameter division,Valid,0.1134789336,Valid,0.123863276735,Valid,0.09831209516,Valid,0.125075420022,Unknown,0.09332588692,Valid,0.141274788732,Valid,0.1206830878,9.0,0.0,2.179487,0.0,16.0,39.0,0.0,0.0,0.0,assigning_meanings_to_programs.mlw,0.0,4.0,26.0,WP_parameter division,1.0,0.0,4.0,9.0,0.0,42.0,40.0,1.0,4.0,0.0,0.0,86.0,Division,0.0,33.0,Unknown,0.09441667634,0.0,0.0,0.1206830878,0.141274788732,0.09831209516,0.125075420022,10.0933258869,10.0944166763,0.123863276735,0.1134789336,4.14417615234,3.14845977375,3.54499499595,4.49844400208,6.98473493236,4.11217982169,3.77965182962,6.96368593158,assigning_meanings_to_programs:Division:WP_parameter division,A3Zza4vy,0.123863276735,Valid,3aZA4zyv,0.09831209516,Valid,vyz4AZa3,0.329017351992,Valid,34AaZzvy,0.09831209516,Valid,0.147268299855
assigning_meanings_to_programs:Sum:WP_parameter sum,Valid,0.1249513174,Valid,0.135712000522,Valid,0.1129616778,Valid,0.172411418174,Valid,0.128384678128,Valid,0.153488968591,Valid,0.185854883902,13.0,0.0,2.215686,0.0,17.0,51.0,0.0,0.0,0.0,assigning_meanings_to_programs.mlw,0.0,4.0,34.0,WP_parameter sum,1.0,0.0,4.0,20.0,0.0,58.0,52.0,1.0,4.0,0.0,0.0,114.0,Sum,0.0,38.0,Timeout,10.084403065,0.0,0.0,0.185854883902,0.153488968591,0.1129616778,0.172411418174,0.128384678128,14.2019430071,0.135712000522,0.1249513174,4.51579275603,3.8062975406,3.3917606168,5.42344614141,5.3065873028,3.75034275169,3.61558538603,6.19894701457,assigning_meanings_to_programs:Sum:WP_parameter sum,3ZzAay4v,0.1129616778,Valid,3ayAz4Zv,0.1129616778,Valid,vZ4zAya3,10.2702579489,Valid,34AaZzvy,0.1129616778,Valid,1.40537394663
balance:Puzzle12:WP_parameter solve12,Valid,1.3147664975,Valid,1.3298766946,Failure,7.28657493114,Valid,0.370115346,Valid,0.161969135909,Valid,0.20464282693,Valid,0.219374184105,142.0,0.0,1.836842,26.0,43.0,570.0,0.0,0.0,0.0,balance.mlw,0.0,29.0,385.0,WP_parameter solve12,1.0,0.0,16.0,226.0,26.0,624.0,597.0,27.0,29.0,1.0,0.0,1150.0,Puzzle12,0.0,296.0,Valid,0.17624770069,2.0,100.0,0.219374184105,0.20464282693,12.3731230588,0.370115346,0.161969135909,0.17624770069,1.3298766946,1.3147664975,13.9459425044,12.465102573,12.6984858291,13.8936246491,13.3961793487,11.9697976019,12.1982365507,13.157081494,balance:Puzzle12:WP_parameter solve12,zZA3vy4a,0.20464282693,Valid,yvzZ4aA3,0.161969135909,Valid,3Aa4Zzvy,8.61645162574,Valid,ZzyvA34a,0.219374184105,Valid,1.45039220721
balance:Puzzle8:WP_parameter solve3,Valid,0.157569828564,Valid,0.161820824447,Valid,0.1417758008,Timeout,10.1758916292,Valid,0.1202484854,Valid,0.1426334326,Valid,0.17424867724,11.0,0.0,2.019608,2.0,17.0,51.0,0.0,0.0,0.0,balance.mlw,0.0,4.0,35.0,WP_parameter solve3,0.0,0.0,2.0,13.0,3.0,61.0,53.0,2.0,4.0,0.0,0.0,112.0,Puzzle8,0.0,42.0,Timeout,10.11438929,0.0,6.0,0.17424867724,0.1426334326,0.1417758008,14.2670519186,0.1202484854,14.2232510598,0.161820824447,0.157569828564,5.15611511337,4.06474251534,5.59293177728,7.33202122844,7.85425131453,5.10889175585,5.31160507831,7.78498044306,balance:Puzzle8:WP_parameter solve3,AzaZ34vy,0.161820824447,Valid,y3zaAZv4,0.1202484854,Valid,4vZAaz3y,20.4645295964,Valid,zZyAa34v,0.1426334326,Valid,3.04832773473
balance:Puzzle8:WP_parameter solve8,Valid,0.538552520429,Valid,0.3009765912,Valid,0.367690690833,Valid,0.1882675976,Valid,0.1308563852,Valid,0.163259126238,Valid,0.186368899554,24.0,0.0,2.06383,4.0,29.0,94.0,0.0,0.0,0.0,balance.mlw,0.0,6.0,62.0,WP_parameter solve8,0.0,0.0,3.0,50.0,5.0,116.0,98.0,4.0,6.0,0.0,0.0,210.0,Puzzle8,0.0,55.0,Timeout,10.1261881286,1.0,10.0,0.186368899554,0.163259126238,0.367690690833,0.1882675976,0.1308563852,14.2316438269,0.3009765912,0.538552520429,10.752187053,8.2928771612,9.15807056809,11.0038035423,10.876243374,9.97152115949,10.7260504098,11.0683416836,balance:Puzzle8:WP_parameter solve8,A3zZay4v,0.3009765912,Valid,yzZ4A3av,0.1308563852,Valid,va3A4Zzy,10.664740649,Valid,A34vayzZ,0.3009765912,Valid,1.53376948908
binary_multiplication:BinaryMultiplication:WP_parameter binary_mult,Valid,0.757276057808,Valid,0.2237095019,Valid,0.169027771138,Timeout,10.13305623,Unknown,0.114402532042,Valid,0.748093149429,Valid,1.2825707406,11.0,0.0,2.145161,0.0,20.0,62.0,0.0,0.0,0.0,binary_multiplication.mlw,0.0,7.0,41.0,WP_parameter binary_mult,2.0,0.0,7.0,17.0,0.0,63.0,64.0,2.0,7.0,3.0,0.0,134.0,BinaryMultiplication,0.0,46.0,Unknown,0.108327632556,0.0,0.0,1.2825707406,0.748093149429,0.169027771138,14.2365314793,10.114402532,10.1083276326,0.2237095019,0.757276057808,5.51621829741,4.50912924025,4.90805578232,7.65420647752,6.59248549427,5.064387828,4.98224158181,7.68918171793,binary_multiplication:BinaryMultiplication:WP_parameter binary_mult,A3Zzay4v,0.2237095019,Valid,3AzaZvy4,0.169027771138,Valid,4yvZazA3,11.6383571352,Valid,34AaZzvy,0.169027771138,Valid,2.36209984327
bresenham:M:WP_parameter bresenham,Timeout,11.0676253986,Unknown,0.858467579065,Unknown,9.0416894748,Unknown,0.090520135,Unknown,0.060191617,Timeout,10.0736214624,Timeout,10.083126864,11.0,0.0,1.57377,0.0,21.0,122.0,0.0,0.0,0.0,bresenham.mlw,0.0,5.0,104.0,WP_parameter bresenham,1.0,0.0,6.0,37.0,1.0,95.0,123.0,1.0,5.0,0.0,0.0,193.0,M,0.0,28.0,Unknown,0.0576639224,0.0,30.0,14.2010368409,14.1942893224,19.0416894748,10.090520135,10.060191617,10.0576639224,10.8584675791,14.9161768548,10.2842163041,8.48356350485,8.19230331973,10.8038794716,9.51120547795,11.2081471071,11.5452543122,11.2326390217,bresenham:M:WP_parameter bresenham,3Aya4zvZ,41.3329064533,Unknown,vy4AzZa3,41.3329064533,Unknown,3aZzA4yv,41.3329064533,Unknown,3yaA4Zzv,41.3329064533,Unknown,41.3329064533
bresenham:M:closest,Unknown,0.1142938202,Unknown,0.1013040062,Timeout,10.0967881118,Unknown,0.0911569306857,Unknown,0.0581544408,Timeout,10.072398026,Timeout,10.0735476504,0.0,0.0,1.928571,0.0,8.0,14.0,0.0,0.0,0.0,bresenham.mlw,0.0,2.0,13.0,closest,0.0,0.0,1.0,2.0,0.0,12.0,14.0,0.0,2.0,0.0,0.0,28.0,M,0.0,10.0,Unknown,0.0608577299796,0.0,0.0,14.1942369385,14.1934210814,14.2107399587,10.0911569307,10.0581544408,10.06085773,10.1013040062,10.1142938202,6.04511016627,5.42032685376,6.01267064463,6.59965541055,9.25674154313,8.29480104972,7.65837010447,7.8094890188,bresenham:M:closest,A3a4Zvzy,30.6685007161,Unknown,yv4AazZ3,30.6685007161,Unknown,3ZzaA4vy,30.6685007161,Timeout,3Aa4vyzZ,30.6685007161,Timeout,30.6685007161
