,Alt-Ergo-0.95.2 result,Alt-Ergo-0.95.2 time,Alt-Ergo-1.01 result,Alt-Ergo-1.01 time,CVC3 result,CVC3 time,CVC4 result,CVC4 time,Yices result,Yices time,Z3-4.3.2 result,Z3-4.3.2 time,Z3-4.4.1 result,Z3-4.4.1 time,and,as,avg_op_arity,case,depth,divisor,eps,exists,false,file,float,forall,func,goal,if,iff,impl,int,let,n_branches,n_ops,n_preds,n_quants,not,or,size,theory,true,var,veriT result,veriT time,wild,zero_ar
add_list:AddListImp:WP_parameter main,Unknown,2.8684006286000003,Unknown,0.2574182025555556,Valid,0.11984090638461538,Valid,0.15002924014285712,Valid,0.10362942988372095,Valid,0.1273461764,Valid,0.13450900206060604,2.0,0.0,1.619048,0.0,8.0,21.0,0.0,0.0,0.0,add_list.mlw,3.0,1.0,17.0,WP_parameter main,0.0,0.0,1.0,4.0,1.0,14.0,21.0,0.0,1.0,0.0,0.0,35.0,AddListImp,0.0,6.0,Timeout,10.086177854999999,0.0,1.0
add_list:AddListImp:WP_parameter sum,Unknown,0.46684052439999996,Unknown,0.2209102048,Valid,0.11576572008,Valid,0.1460418725428571,Valid,0.10893088736363638,Valid,0.136739795,Valid,0.13626319216216215,8.0,0.0,1.848485,3.0,16.0,66.0,0.0,0.0,3.0,add_list.mlw,1.0,6.0,53.0,WP_parameter sum,1.0,0.0,5.0,1.0,0.0,60.0,70.0,4.0,6.0,0.0,0.0,133.0,AddListImp,1.0,49.0,Timeout,10.087146319800002,2.0,3.0
add_list:AddListRec:WP_parameter main,Unknown,2.8859731192,Unknown,0.2596411976666666,Valid,0.11273546901587304,Valid,0.1341351440909091,Valid,0.10148125954385966,Valid,0.125985001,Valid,0.1335813227,2.0,0.0,1.619048,0.0,8.0,21.0,0.0,0.0,0.0,add_list.mlw,3.0,1.0,17.0,WP_parameter main,0.0,0.0,1.0,4.0,1.0,14.0,21.0,0.0,1.0,0.0,0.0,35.0,AddListRec,0.0,6.0,Timeout,10.0803478892,0.0,1.0
add_list:AddListRec:WP_parameter sum,Valid,0.1196087348,Valid,0.14069588182051282,Valid,0.10608661753846155,Valid,0.15398359473529413,Valid,0.10300146124444445,Valid,0.13028533164864864,Valid,0.14498238522222223,5.0,0.0,1.806452,3.0,10.0,31.0,0.0,0.0,1.0,add_list.mlw,1.0,2.0,25.0,WP_parameter sum,0.0,0.0,1.0,1.0,0.0,32.0,34.0,3.0,2.0,0.0,0.0,66.0,AddListRec,0.0,26.0,Timeout,10.0938609276,1.0,2.0
algo63:Algo63:WP_parameter exchange,Valid,0.20937128879999997,Valid,0.18631399466666665,Timeout,7.872374101709999,Timeout,10.283582796,Valid,0.17333463240000002,Unknown,1.6660380177499998,Unknown,1.1693989238,17.0,0.0,2.18,0.0,17.0,50.0,0.0,0.0,0.0,algo63.mlw,0.0,3.0,28.0,WP_parameter exchange,0.0,0.0,3.0,9.0,2.0,57.0,50.0,0.0,3.0,0.0,0.0,110.0,Algo63,0.0,48.0,Timeout,10.136583608399999,0.0,0.0
algo63:Algo63:WP_parameter partition,Timeout,11.1434483696,Timeout,10.151270353200001,Unknown,0.1888494932,Timeout,11.005580524333334,Timeout,10.1516219188,Unknown,3.5267563284,Timeout,10.157217139599998,25.0,0.0,2.164557,0.0,17.0,79.0,0.0,1.0,0.0,algo63.mlw,0.0,8.0,44.0,WP_parameter partition,0.0,0.0,8.0,6.0,2.0,84.0,79.0,0.0,9.0,0.0,0.0,172.0,Algo63,0.0,78.0,Timeout,10.1501195846,0.0,0.0
algo63:Algo63:WP_parameter partition_,Timeout,11.1689356288,Timeout,10.1835989242,Valid,3.8093627604,Timeout,10.3634659354,Timeout,10.172362948800002,Valid,4.501313581,Valid,4.796819170499999,330.0,0.0,2.172475,0.0,55.0,1119.0,0.0,0.0,0.0,algo63.mlw,0.0,89.0,658.0,WP_parameter partition_,12.0,0.0,89.0,84.0,14.0,1212.0,1131.0,12.0,89.0,0.0,28.0,2432.0,Algo63,0.0,1128.0,Timeout,10.211538269600002,0.0,0.0
algo64:Algo64:WP_parameter qs,Valid,0.1417702986,Valid,0.1441683899090909,Valid,0.155903339425,Valid,0.199770886,Timeout,10.130513498800001,Valid,0.1495368046,Valid,0.17330425934042554,7.0,0.0,2.344828,0.0,14.0,29.0,0.0,0.0,0.0,algo64.mlw,0.0,2.0,17.0,WP_parameter qs,1.0,0.0,2.0,13.0,3.0,37.0,30.0,1.0,2.0,0.0,0.0,69.0,Algo64,0.0,24.0,Valid,0.11967062519999998,0.0,0.0
algo64:Algo64:WP_parameter quicksort,Timeout,11.10764641,Valid,1.2433644580625,Unknown,3.3701480329120876,Timeout,10.242817161599998,Timeout,10.1320052184,Timeout,10.150069139200001,Timeout,10.149348467400001,34.0,0.0,2.306306,0.0,24.0,111.0,0.0,0.0,0.0,algo64.mlw,0.0,7.0,66.0,WP_parameter quicksort,1.0,0.0,7.0,24.0,4.0,138.0,112.0,1.0,7.0,0.0,0.0,257.0,Algo64,0.0,114.0,Timeout,10.106584906199998,0.0,0.0
algo65:Algo65:WP_parameter find,Timeout,11.137835540800001,Valid,4.929996535090909,Unknown,0.7015417223134328,Timeout,11.160472307166666,Timeout,10.1236114698,Timeout,10.187822022599999,Timeout,10.165982697599999,112.0,0.0,2.200495,0.0,34.0,404.0,0.0,6.0,0.0,algo65.mlw,0.0,33.0,254.0,WP_parameter find,4.0,0.0,33.0,37.0,5.0,443.0,408.0,4.0,39.0,0.0,0.0,890.0,Algo65,0.0,406.0,Timeout,10.133777757599999,0.0,0.0
